drug,model,feature,importance
erythromycin,LogReg,tcaB_2,0.0
erythromycin,LogReg,tet38,0.0
erythromycin,LogReg,tet(38),0.0
erythromycin,LogReg,tuf,0.0
erythromycin,LogReg,tufA,0.0
erythromycin,LogReg,ugpQ_1,0.0
erythromycin,LogReg,tetL,0.0
erythromycin,LogReg,ugpQ_2,0.0
erythromycin,LogReg,ugpQ_4,0.0
erythromycin,LogReg,vraG,0.0
erythromycin,LogReg,vraR_1,0.0
erythromycin,LogReg,vraS_1,0.0
erythromycin,LogReg,vraS_2,0.0
erythromycin,LogReg,yheS_3,0.0
erythromycin,LogReg,yvqF,0.0
erythromycin,RandomForest,MurA,0.07623116291756524
erythromycin,RandomForest,EF-G,0.060234272625379795
erythromycin,RandomForest,fabF,0.06000342966098488
erythromycin,RandomForest,rpoB,0.05292889811023737
erythromycin,RandomForest,ErmC,0.04456146054356223
erythromycin,RandomForest,pgsA,0.0428064420793764
erythromycin,RandomForest,mgrA,0.03861919466662184
erythromycin,RandomForest,Ddl,0.03618277374356089
erythromycin,RandomForest,"folA, Dfr",0.035563311655138714
erythromycin,RandomForest,NorA,0.03543704329275646
erythromycin,RandomForest,arlR,0.033599952634728626
erythromycin,RandomForest,PgsA,0.03337915080429341
erythromycin,RandomForest,norB_3,0.03174593622905615
erythromycin,RandomForest,graR,0.03003364920970591
erythromycin,RandomForest,rho,0.030022270599340147
erythromycin,RandomForest,ugpQ_3,0.027481192348333426
erythromycin,RandomForest,gyrB,0.027020066958305392
erythromycin,RandomForest,arlS,0.02644841488950695
erythromycin,RandomForest,BlaZ family,0.026140615413831326
erythromycin,RandomForest,kasA,0.0254977157793556
erythromycin,RandomForest,BceS,0.02182395263521128
erythromycin,RandomForest,mepR,0.02168344056072886
erythromycin,RandomForest,parE,0.020534402601836917
erythromycin,RandomForest,Alr,0.020511529269017323
erythromycin,RandomForest,dfrC,0.020210786967490003
erythromycin,RandomForest,blaR1,0.019299843785660038
erythromycin,RandomForest,tetA,0.019178846676317186
erythromycin,RandomForest,rpoC,0.018867885062509172
erythromycin,RandomForest,fusA,0.01849008707280899
erythromycin,RandomForest,LiaR,0.01633522687127935
erythromycin,RandomForest,folP,0.012120335348879675
erythromycin,RandomForest,Iso-tRNA,0.010486893920554819
erythromycin,RandomForest,murA,0.006519815066065598
